Formula                         icsd     idk1 idk2
Y1                             187638   12   SEBR
Te4Ti3                          43412   12   SEBR
Ta2Te3                          41047   12   SEBR
Se8Tl1V5                        37122   12   SEBR
Se4Ti3                         601347   12   SEBR
Rh1Si2Y2                        48176   12   SEBR
P3Tc2                           41016   12   SEBR
P2V1                            42077   12   SEBR
O5Ti5                           56694   12   SEBR
O2V1                            34417   12   SEBR
O2V1                            34416   12   SEBR
O1Ti1                           15327   12   SEBR
O13V6                           50409   12   SEBR
O13V6                           15028   12   SEBR
Ni3Sn4                         105364   12   SEBR
Ni1Se7Ta2                       41619   12   SEBR
Ni1Se4Ti2                      646547   12   SEBR
Ni1Se4Ti2                      646544   12   SEBR
Ni1Se4Si2                      646533   12   SEBR
Ni1Sc3Si3                       48004   12   SEBR
Ni1S8Ti4                       646389   12   SEBR
Ni1Rh2Se4                      646321   12   SEBR
Ni1Rh2Se4                      646318   12   SEBR
Nb2Se1                          26183   12   SEBR
Nb1Sb2                          77752   12   SEBR
Nb1Sb2                         645350   12   SEBR
Nb1Sb2                          57430   12   SEBR
Nb1Sb2                         190180   12   SEBR
Nb1Sb2                          18144   12   SEBR
Nb1P2                          645169   12   SEBR
N3Na1                           29383   12   SEBR
N3Na1                           29382   12   SEBR
N3Na1                           29381   12   SEBR
N3Na1                           29380   12   SEBR
N3Na1                           29379   12   SEBR
N3Na1                           29378   12   SEBR
N3Na1                           29377   12   SEBR
N3Na1                           29376   12   SEBR
N3Na1                           29375   12   SEBR
N3Na1                           29374   12   SEBR
N3Na1                           29373   12   SEBR
N3Na1                           29372   12   SEBR
N3Na1                           29371   12   SEBR
N3Na1                           29370   12   SEBR
Mn2Nd1                         184171   12   SEBR
Li2O13V6                        59305   12   SEBR
Li2Mn1O3                       239971   12   SEBR
Li1Mo1O2                       165326   12   SEBR
In4Sr1                         240135   12   SEBR
In4Sr1                         240133   12   SEBR
I3La5Si5                       407248   12   SEBR
I3La4Si4                       407247   12   SEBR
Hf2Te1                          83965   12   SEBR
H4Cl2Ni1O2                      20755   12   SEBR
H3N1Na2S3                       23361   12   SEBR
H3Cu2F2K1O8P2                   62646   12   SEBR
H2I2O12Sb8                      24759   12   SEBR
H2Br2O12Sb8                     24760   12   SEBR
H12N2O16Zn5                     16023   12   SEBR
Ge6La4Mg7                      262220   12   SEBR
Ge2Re1                         637671   12   SEBR
Fe5O7                          430563   12   SEBR
Fe3Se4                         633477   12   SEBR
Fe3Se4                          24560   12   SEBR
Fe3Se4                         150568   12   SEBR
Fe1Zn13                        240050   12   SEBR
Fe1Zn13                        163222   12   SEBR
Fe1S8Ti4                       633326   12   SEBR
Fe1S8Ti4                        53534   12   SEBR
Fe1S4Ti2                        42563   12   SEBR
Fe0.5S2Ti1                     633332   12   SEBR
Eu1In4                         106627   12   SEBR
Er2O7Si2                       151123   12   SEBR
Cu4Na1O12Te2Tl3                421466   12   SEBR
Cs2Ir1Na2O4                     71624   12   SEBR
Cr7Se8                          26977   12   SEBR
Cr3Se4                          26976   12   SEBR
Cr3S4                           81886   12   SEBR
Cr3S4                          192944   12   SEBR
Cr2S4Ti1                       626640   12   SEBR
Cr2Ni1S4                        16884   12   SEBR
Cr2Fe1Se4                      625968   12   SEBR
Cr2Fe1S4                       625931   12   SEBR
Cr1Se2                         251718   12   SEBR
Cr1S2                           75420   12   SEBR
Cr1Rh2Se4                      626577   12   SEBR
Cr1Pr2Se4                      626541   12   SEBR
Cr1P1S4                           821   12   SEBR
Co2Ni1Se4                      624485   12   SEBR
Co2Na7O6Rb1                     66006   12   SEBR
Co1Si2Zr2                        2371   12   SEBR
Co1Sc2Si2                      624952   12   SEBR
Co1Ge1                         623423   12   SEBR
Co1Ge1                          43677   12   SEBR
Co1Ge1                         184254   12   SEBR
Ce4Ge6Mg7                      424719   12   SEBR
Ca2Fe1N2                        72389   12   SEBR
C6H5Cl2Tl1                      20762   12   SEBR
C5Nb6                           63503   12   SEBR
C5Nb6                           39297   12   SEBR
C5Nb6                           20695   12   SEBR
C5Nb6                          167353   12   SEBR
C3U2W2                         619030   12   SEBR
C3Mo2U2                        618357   12   SEBR
C3Lu2Mo2                       618223   12   SEBR
C3Ho2Mo2                        88513   12   SEBR
C3Ho2Mo2                        88512   12   SEBR
C3Ho2Mo2                        88511   12   SEBR
C3Cr2Yb2                       602482   12   SEBR
C3Cr2Y2                        617562   12   SEBR
C3Cr2Tb2                       617537   12   SEBR
C3Cr2Lu2                       617514   12   SEBR
